Madness,Wichita State,UNC,Xavier,Oklahoma,Kansas,Oregon,Villanova,Michigan State,Texas A&M,Green Bay,Syracuse,Iowa,Indiana,CSU Bakersfield,Seton Hall,Gonzaga,Weber State,West Virginia,Mid Tennessee,Dayton,Utah,Saint Joe's,Kentucky,Iona,Cincinnati,Providence,Arizona,UVA,Purdue,Iowa State,UNC Asheville,Miami,USC,Baylor,Yale,UNC Wilmington,Notre Dame,Northern Iowa,Duke,Cal,Hawai'i,SF Austin,Temple,Wisconsin,FGCU,Stony Brook,Vanderbilt,Maryland,Butler,Hampton,VCU,South Dakota St,Fresno State,Little Rock,Tulsa,Southern,Pitt,Chattanooga,Colorado,Oregon State,Michigan,Texas,Texas Tech,UConn,Austin Peay,Fair Dickinson,Buffalo,Holy Cross
FGM,992,1235,928,1018,1092,1041,1086,984,963,1048,884,906,1021,875,892,1011,909,943,909,836,977,941,1000,919,851,881,946,964,939,1087,898,907,982,933,795,928,972,849,983,890,893,972,822,816,1008,933,857,943,918,810,982,877,926,860,821,909,878,897,888,811,947,814,785,778,945,929,844,775
FGA,2115,2561,2054,2225,2207,2230,2247,2018,2142,2350,2082,2027,2034,1939,1999,2082,1888,2102,2025,1836,2000,2099,2091,2011,1980,2093,1970,1963,1987,2159,1973,1895,2137,2003,1694,2039,2042,1863,2135,1937,1946,2034,2023,1917,2106,1993,1879,1942,1969,1967,2170,1950,2126,1906,1849,2047,1919,1963,1993,1843,2048,1884,1754,1809,2049,2028,1889,1880
FTM,622,617,626,530,601,648,599,446,550,662,506,480,504,476,532,537,553,654,442,500,551,562,545,463,464,566,622,474,521,395,561,578,507,545,468,534,498,479,626,529,597,515,368,512,501,429,519,572,566,537,488,582,559,437,495,505,516,596,542,461,420,495,550,441,627,462,482,466
FTA,848,826,857,734,843,907,766,614,819,1007,736,669,689,726,808,708,821,972,718,749,764,778,789,651,658,781,863,630,702,563,808,772,750,752,700,760,671,633,866,806,873,701,538,728,778,636,747,744,774,815,705,783,805,601,732,754,686,811,770,687,569,743,741,619,936,663,697,678
TPM,310,224,255,382,304,260,347,313,275,255,315,269,345,179,206,281,291,209,279,221,273,249,234,327,252,249,221,224,265,293,195,241,266,210,190,230,262,298,328,236,237,269,255,229,186,220,273,267,236,206,255,255,219,260,219,211,204,262,250,218,342,232,185,223,223,238,231,251
TPA,769,685,702,906,728,758,959,718,800,730,876,719,830,524,594,739,789,643,716,642,746,759,642,884,725,776,580,556,716,758,603,643,688,572,523,677,700,796,851,651,737,741,757,656,527,597,714,739,601,678,716,715,638,675,671,610,589,729,718,587,901,680,535,628,645,656,706,769
PTS,2916,3311,2737,2948,3089,2990,3118,2727,2751,3013,2589,2561,2891,2405,2522,2840,2662,2749,2539,2393,2778,2693,2779,2628,2418,2577,2735,2626,2664,2862,2552,2633,2737,2621,2248,2620,2704,2475,2920,2545,2620,2728,2267,2373,2703,2515,2506,2725,2638,2363,2707,2591,2630,2417,2356,2534,2476,2652,2568,2301,2656,2355,2305,2220,2740,2558,2401,2267
OFFR,433,568,436,407,402,442,351,415,460,458,445,392,414,414,438,382,300,558,369,327,347,359,451,348,441,402,394,323,400,304,396,330,401,467,407,397,381,195,426,386,360,405,371,398,417,425,313,319,366,447,435,381,409,315,323,365,417,381,403,337,290,363,326,336,422,347,385,279
DEFR,1041,1056,955,1011,1041,940,1034,998,959,927,877,865,874,847,917,1044,1001,822,914,937,985,984,910,870,849,860,973,865,1013,940,883,869,936,799,802,840,884,896,873,971,909,785,854,830,1005,887,959,945,819,875,879,898,884,843,799,893,841,861,872,764,862,774,761,873,904,760,862,772
REB,1474,1624,1391,1418,1443,1382,1385,1413,1419,1385,1322,1257,1288,1261,1355,1426,1301,1380,1283,1264,1332,1343,1361,1218,1290,1262,1367,1188,1413,1244,1279,1199,1337,1266,1209,1237,1265,1091,1299,1357,1269,1190,1225,1228,1422,1312,1272,1264,1185,1322,1314,1279,1293,1158,1122,1258,1258,1242,1275,1101,1152,1137,1087,1209,1326,1107,1247,1051
AST,586,712,548,537,604,517,637,704,602,500,498,523,560,516,455,502,481,510,455,481,557,515,499,551,508,550,486,551,605,577,422,438,504,603,452,438,480,429,480,434,525,636,445,400,483,541,487,492,468,381,505,381,466,441,435,382,547,504,473,432,537,377,418,432,479,472,434,479
TO,406,431,429,484,478,431,440,406,434,441,440,339,474,405,469,418,462,498,419,427,451,355,389,422,363,397,442,345,419,398,444,383,415,432,398,374,359,357,354,419,443,411,305,386,438,379,386,458,335,440,405,399,378,355,346,391,384,437,410,361,348,341,385,402,502,423,453,386
STL,235,269,246,247,253,275,282,155,255,358,300,223,239,263,251,185,177,343,215,196,199,177,197,248,257,229,164,199,143,218,312,215,215,269,170,246,197,204,225,139,257,311,173,205,230,204,139,209,227,169,304,169,295,222,216,258,162,272,172,236,203,167,190,146,250,251,174,219
BLK,140,177,101,189,158,221,136,172,129,166,164,156,137,165,155,111,121,93,123,145,149,117,203,135,192,123,161,119,161,142,112,127,182,135,137,143,142,94,156,160,124,122,103,114,141,151,182,195,107,117,130,84,138,104,89,123,121,165,146,106,81,144,134,177,101,87,115,86
Home Games,20,23,21,20,24,24,22,24,24,18,21,20,22,18,22,22,20,23,19,22,24,22,23,18,20,22,23,22,24,21,20,21,23,22,13,19,22,20,24,22,23,19,21,21,21,16,20,23,21,16,23,18,21,17,20,17,23,20,22,19,24,22,21,24,19,15,20,14
Away Games,12,11,11,12,10,10,12,10,10,17,11,11,10,14,11,11,14,11,14,10,10,12,11,14,12,11,10,11,10,11,13,11,10,11,15,13,10,14,9,11,9,13,11,11,12,16,12,10,10,15,11,15,13,16,12,17,9,14,11,12,10,10,10,10,16,17,14,19
Wins,24,28,27,25,30,28,29,29,26,23,19,21,25,24,25,26,26,26,24,25,26,27,26,22,22,23,25,26,26,21,22,25,21,22,22,25,21,22,23,23,27,27,21,20,20,26,19,25,21,21,24,26,25,29,20,22,21,29,22,19,22,20,19,24,18,18,20,14
Losses,8,6,5,7,4,6,5,5,8,12,13,10,7,8,8,7,8,8,9,7,8,7,8,10,10,10,8,7,8,11,11,7,12,11,6,7,11,12,10,10,5,5,11,12,13,6,13,8,10,10,10,7,9,4,12,12,11,5,11,12,12,12,12,10,17,14,14,19
Home Wins,15,22,19,18,23,23,19,22,21,15,16,15,19,17,18,17,19,19,16,17,21,17,22,14,16,16,20,21,21,17,16,19,18,16,13,17,16,16,18,19,20,18,14,14,16,15,16,21,16,13,17,18,19,17,14,15,18,19,18,15,18,15,16,18,11,9,15,8
Top 25 Teams,1,8,7,13,14,5,7,7,6,0,9,9,6,0,7,4,0,12,0,2,5,2,4,0,4,9,6,9,7,11,0,8,6,14,1,0,9,3,7,6,1,1,7,10,1,1,8,7,8,1,2,0,2,0,4,0,8,1,6,5,12,13,11,4,2,1,2,1
Top 25 Wins,1,5,6,8,11,5,3,5,4,0,4,5,4,0,4,1,0,6,0,1,3,1,3,0,1,4,3,7,2,4,0,5,2,5,0,0,4,3,3,3,0,0,3,5,0,0,2,2,2,0,0,0,0,0,2,0,1,0,1,1,3,6,3,1,0,0,0,0
