Madness,Kansas State,Wake Forest,Mt St Mary's,New Orleans,Providence,USC,NC Central,UC Davis,Villanova,Wisconsin,Virginia Tech,UVA,UNC Wilmington,Florida,ETSU,SMU,Baylor,New Mexico St,South Carolina,Marquette,Duke,Troy,Gonzaga,South Dakota St,Northwestern,Vanderbilt,Notre Dame,Princeton,West Virginia,Bucknell,Maryland,Xavier,Florida State,FGCU,Saint Mary's,VCU,Arizona,North Dakota,Kansas,Miami,Michigan State,Iowa State,Nevada,Purdue,Vermont,Creighton,URI,Oregon,Iona,Michigan,Oklahoma State,Louisville,Jacksonville St,UNC,Texas Southern,Arkansas,Seton Hall,Minnesota,Mid Tennessee,Butler,Winthrop,Cincinnati,UCLA,Kent State,Dayton,Wichita State,Kentucky,N Kentucky,
FGM,965,923,877,830,804,975,910,873,965,971,887,839,1071,953,960,914,921,913,923,919,1019,982,1149,881,913,815,980,772,1059,942,827,981,1036,1007,892,945,977,926,1071,813,905,1031,933,980,943,1078,916,1091,979,1002,957,952,857,1226,866,997,872,887,1014,906,891,969,1210,986,820,992,1134,928,
FGA,1948,1955,1977,1755,1795,2139,2005,2008,1948,2136,1813,1823,2231,2119,1966,1936,1957,1957,2198,1889,2145,2154,2281,1938,2092,1896,2139,1716,2333,1961,1840,2148,2146,2019,1797,2050,2048,1919,2193,1800,1927,2186,2082,2044,1909,2136,2018,2270,2155,2076,2050,2086,1869,2633,2017,2166,1947,2037,2077,1898,1957,2117,2320,2303,1763,2115,2396,2037,
FTM,538,619,431,532,472,583,467,558,538,453,546,336,489,620,597,485,478,600,611,457,642,614,638,603,477,513,489,307,621,497,512,607,568,466,372,527,635,498,535,443,432,423,606,515,456,404,528,560,513,486,620,486,462,642,656,628,471,573,441,522,520,472,459,543,530,622,690,503,
FTA,681,796,640,749,683,787,684,828,681,703,741,474,708,851,850,697,661,843,875,585,842,848,890,782,638,660,611,416,907,730,732,882,824,664,499,747,830,698,789,617,645,604,859,680,651,592,791,787,668,624,786,708,647,916,892,825,733,806,631,704,725,688,622,755,768,848,981,740,
TPM,311,268,261,139,239,283,255,221,311,283,290,232,336,278,265,286,230,252,248,336,311,311,286,318,255,346,334,298,275,286,272,267,233,221,293,199,244,228,318,209,273,344,320,315,229,304,217,334,342,361,294,238,258,283,205,233,202,209,228,261,313,264,354,257,258,310,267,300,
TPA,843,697,730,438,645,782,761,635,843,789,720,602,917,776,693,705,642,747,735,783,821,868,749,883,745,921,869,789,759,754,757,775,671,636,744,602,625,585,787,587,732,860,837,782,621,767,652,880,862,937,732,671,685,798,695,638,597,610,622,714,839,765,872,803,671,769,756,859,
PTS,2779,2733,2446,2331,2319,2816,2542,2525,2779,2678,2610,2246,2967,2804,2782,2599,2550,2678,2707,2631,2991,2889,3222,2683,2558,2489,2783,2149,3014,2669,2438,2836,2873,2701,2449,2616,2833,2578,2995,2278,2515,2829,2792,2790,2571,2864,2577,3076,2813,2851,2828,2628,2434,3377,2593,2855,2417,2556,2697,2595,2615,2674,3233,2772,2428,2916,3225,2659,
OFFR,316,349,276,386,294,387,397,364,316,460,240,297,422,416,357,416,451,436,464,280,390,409,378,316,386,286,334,247,534,302,351,451,409,379,324,386,380,297,428,363,328,318,386,344,326,289,409,412,338,280,454,457,355,630,401,401,439,378,355,287,316,437,343,539,277,433,470,391,
DEFR,891,848,805,754,806,897,914,915,891,916,826,822,839,918,912,918,876,903,880,779,951,958,1209,912,918,922,878,755,851,901,821,965,915,890,883,889,977,848,964,813,947,901,965,975,866,934,892,1016,913,831,761,886,889,1119,825,896,873,963,918,802,908,890,1042,913,820,1041,1041,928,
REB,1207,1197,1081,1140,1100,1284,1311,1279,1207,1376,1066,1119,1261,1334,1269,1334,1327,1339,1344,1059,1341,1367,1587,1228,1304,1208,1212,1002,1385,1203,1172,1416,1324,1269,1207,1275,1357,1145,1392,1176,1275,1219,1351,1319,1192,1223,1301,1428,1251,1111,1215,1343,1244,1749,1226,1297,1312,1341,1273,1089,1224,1327,1385,1452,1097,1474,1511,1319,
AST,505,512,403,501,471,550,480,461,505,503,497,473,565,451,516,567,545,505,467,525,484,484,595,459,541,450,566,429,607,510,472,560,511,527,563,525,501,487,584,389,591,553,559,641,476,598,465,614,541,529,486,461,493,722,411,501,404,507,553,453,423,559,771,449,500,586,585,486,
TO,402,389,472,534,412,398,406,513,402,411,398,324,363,431,519,377,469,465,480,396,421,462,448,453,383,430,341,298,455,466,426,478,415,421,365,435,413,419,456,417,490,355,386,455,392,435,389,454,421,348,432,374,477,473,407,428,449,393,374,346,430,361,404,465,376,406,443,468,
STL,259,183,223,252,218,252,209,202,259,250,131,190,236,271,293,200,180,166,288,231,226,221,265,180,189,147,254,200,371,252,180,228,259,208,143,263,201,251,250,213,151,272,188,181,199,212,226,253,239,220,252,227,157,283,251,278,228,194,242,206,216,260,212,232,249,235,229,200,
BLK,109,121,142,97,98,190,113,118,109,131,91,138,119,172,162,117,167,128,142,115,172,129,183,83,175,134,134,93,176,134,154,100,180,116,110,138,119,93,162,125,162,124,152,87,151,102,206,248,108,109,99,185,134,139,110,172,83,227,100,96,169,178,191,135,128,140,201,98,
