"Team","FGM","FGA","FTM","FTA","TPM","TPA","PTS","OFFR","DEFR","REB","AST","TO","STL","BLK","Home.Games","Away.Games","Wins","Losses","Home.Wins","Top.25.Teams","Top.25.Wins","Top.25.Losses","Top.25.Win.Percentage","Top.25.Point.Diff","Top.25.Point.Diff.Per.Game","Score.For","Score.Against","Clutch.Opportunities","Clutch.Wins","Clutch.Percentage","Win.Percentage","Total.Games","Overall.Point.Diff","Point.Diff.Per.Game","Field.Goal.Percentage","Free.Throw.Percentage","Three.Point.Percentage","Offensive.Rebounds.Per.Game","Defensive.Rebounds.Per.Game","Assists.Per.Game","Turnovers.Per.Game","Steals.Per.Game","Blocks.Per.Game","Home.Win.Percentage","Away.Win.Percentage","Ranking","Overall.Rating..2016.Eq.","Overall.Rating..2017.Eq.","Year"
"17Kansas.State",965,1948,538,681,311,843,2779,316,891,1207,505,402,259,109,21,12,20,13,14,8,3,5,0.375,-22,-2.75,2367,2209,12,5,0.416667,0.606061,33,158,4.78788,0.49538,0.790015,0.368921,9.57576,27,15.303,12.1818,7.84848,3.30303,0.666667,0.5,10,109.027,53.8714,2017
"17Wake.Forest",923,1955,619,796,268,697,2733,349,848,1197,512,389,183,121,18,14,19,13,13,8,1,7,0.125,-62,-7.75,2645,2493,10,5,0.5,0.59375,32,152,4.75,0.472123,0.777638,0.384505,10.9063,26.5,16,12.1563,5.71875,3.78125,0.722222,0.428571,5,103.052,50.9946,2017
"17Mt.St.Mary.s",877,1977,431,640,261,730,2446,276,805,1081,403,472,223,142,15,19,19,15,11,3,0,3,0,-63,-21,2323,2332,11,7,0.636364,0.558824,34,-9,-0.264706,0.443601,0.673438,0.357534,8.11765,23.6765,11.8529,13.8824,6.55882,4.17647,0.733333,0.421053,10,92.0898,43.4746,2017
"17New.Orleans",830,1755,532,749,139,438,2331,386,754,1140,501,534,252,97,16,15,20,11,13,0,0,0,0,0,-21,2265,2148,8,3,0.375,0.645161,31,117,3.77419,0.472934,0.71028,0.317352,12.4516,24.3226,16.1613,17.2258,8.12903,3.12903,0.8125,0.466667,5,96.297,49.4279,2017
"17Providence",804,1795,472,683,239,645,2319,294,806,1100,471,412,218,98,21,11,20,12,16,9,3,6,0.333333,-76,-8.44444,2248,2132,9,5,0.555556,0.625,32,116,3.625,0.447911,0.691069,0.370543,9.1875,25.1875,14.7188,12.875,6.8125,3.0625,0.761905,0.363636,5,99.5946,50.2363,2017
"17USC",975,2139,583,787,283,782,2816,387,897,1284,550,398,252,190,22,11,24,9,18,7,1,6,0.142857,-80,-11.4286,2597,2415,10,7,0.7,0.727273,33,182,5.51515,0.45582,0.740788,0.361893,11.7273,27.1818,16.6667,12.0606,7.63636,5.75758,0.818182,0.545455,15,112.24,55.115,2017
"17NC.Central",910,2005,467,684,255,761,2542,397,914,1311,480,406,209,113,16,17,25,8,14,0,0,0,0.142857,0,-11.4286,2479,2092,6,1,0.166667,0.757576,33,387,11.7273,0.453865,0.682749,0.335085,12.0303,27.697,14.5455,12.303,6.33333,3.42424,0.875,0.647059,5,103.712,53.2577,2017
"17UC.Davis",873,2008,558,828,221,635,2525,364,915,1279,461,513,202,118,20,14,22,12,17,0,0,0,0.142857,0,-11.4286,2396,2343,11,7,0.636364,0.647059,34,53,1.55882,0.434761,0.673913,0.348031,10.7059,26.9118,13.5588,15.0882,5.94118,3.47059,0.85,0.357143,10,96.0825,50.5443,2017
"17Villanova",965,1948,538,681,311,843,2779,316,891,1207,505,402,259,109,22,12,31,3,21,9,7,2,0.777778,64,7.11111,2641,2135,5,4,0.8,0.911765,34,506,14.8824,0.49538,0.790015,0.368921,9.29412,26.2059,14.8529,11.8235,7.61765,3.20588,0.954545,0.833333,15,113.278,57.4241,2017
"17Wisconsin",971,2136,453,703,283,789,2678,460,916,1376,503,411,250,131,24,10,25,9,20,6,3,3,0.5,-3,-0.5,2446,2088,6,5,0.833333,0.735294,34,358,10.5294,0.454588,0.644381,0.358682,13.5294,26.9412,14.7941,12.0882,7.35294,3.85294,0.833333,0.5,20,104.59,56.6279,2017
