"Team","FGM","FGA","FTM","FTA","TPM","TPA","PTS","OFFR","DEFR","REB","AST","TO","STL","BLK","Home.Games","Away.Games","Wins","Losses","Home.Wins","Top.25.Teams","Top.25.Wins","Top.25.Losses","Top.25.Win.Percentage","Top.25.Point.Diff","Top.25.Point.Diff.Per.Game","Score.For","Score.Against","Clutch.Opportunities","Clutch.Wins","Clutch.Percentage","Win.Percentage","Total.Games","Overall.Point.Diff","Point.Diff.Per.Game","Field.Goal.Percentage","Free.Throw.Percentage","Three.Point.Percentage","Offensive.Rebounds.Per.Game","Defensive.Rebounds.Per.Game","Assists.Per.Game","Turnovers.Per.Game","Steals.Per.Game","Blocks.Per.Game","Home.Win.Percentage","Away.Win.Percentage","Ranking","Overall.Rating..2016.Eq.","Overall.Rating..2017.Eq.","Year"
"16Wichita.State",992,2115,622,848,310,769,2916,433,1041,1474,586,406,235,140,20,12,24,8,15,1,1,0,1,17,17,2343,1896,7,1,0.142857,0.75,32,447,13.9688,0.469031,0.733491,0.403121,13.5313,32.5313,18.3125,12.6875,7.34375,4.375,0.75,0.75,5,114.646,71.935,2016
"16UNC",1235,2561,617,826,224,685,3311,568,1056,1624,712,431,269,177,23,11,28,6,22,8,5,3,0.625,42,5.25,2797,2365,10,5,0.5,0.823529,34,432,12.7059,0.482234,0.746973,0.327007,16.7059,31.0588,20.9412,12.6765,7.91176,5.20588,0.956522,0.545455,5,123.093,69.0659,2016
"16Xavier",928,2054,626,857,255,702,2737,436,955,1391,548,429,246,101,21,11,27,5,19,7,6,1,0.857143,39,5.57143,2603,2273,2,1,0.5,0.84375,32,330,10.3125,0.451801,0.730455,0.363248,13.625,29.8438,17.125,13.4063,7.6875,3.15625,0.904762,0.727273,5,116.154,67.131,2016
"16Oklahoma",1018,2225,530,734,382,906,2948,407,1011,1418,537,484,247,189,20,12,25,7,18,13,8,5,0.615385,-62,-4.76923,2477,2254,13,8,0.615385,0.78125,32,223,6.96875,0.457528,0.722071,0.421634,12.7188,31.5938,16.7813,15.125,7.71875,5.90625,0.9,0.583333,5,122.105,66.6112,2016
"16Kansas",1092,2207,601,843,304,728,3089,402,1041,1443,604,478,253,158,24,10,30,4,23,14,11,3,0.785714,181,12.9286,2773,2207,4,4,1,0.882353,34,566,16.6471,0.494789,0.71293,0.417582,11.8235,30.6176,17.7647,14.0588,7.44118,4.64706,0.958333,0.7,5,118.887,65.359,2016
"16Oregon",1041,2230,648,907,260,758,2990,442,940,1382,517,431,275,221,24,10,28,6,23,5,5,0,1,60,12,2680,2350,7,4,0.571429,0.823529,34,330,9.70588,0.466816,0.714443,0.343008,13,27.6471,15.2059,12.6765,8.08824,6.5,0.958333,0.5,5,113.723,63.6869,2016
"16Villanova",1086,2247,599,766,347,959,3118,351,1034,1385,637,440,282,136,22,12,29,5,19,7,3,4,0.428571,1,0.142857,2617,2166,5,3,0.6,0.852941,34,451,13.2647,0.483311,0.781984,0.361835,10.3235,30.4118,18.7353,12.9412,8.29412,4,0.863636,0.833333,5,120.419,62.9167,2016
"16Michigan.State",984,2018,446,614,313,718,2727,415,998,1413,704,406,155,172,24,10,29,5,22,7,5,2,0.714286,8,1.14286,2712,2155,7,4,0.571429,0.852941,34,557,16.3824,0.487611,0.726384,0.435933,12.2059,29.3529,20.7059,11.9412,4.55882,5.05882,0.916667,0.7,5,110.513,62.7952,2016
"16Texas.A.M",963,2142,550,819,275,800,2751,460,959,1419,602,434,255,129,24,10,26,8,21,6,4,2,0.666667,24,4,2581,2228,11,6,0.545455,0.764706,34,353,10.3824,0.44958,0.671551,0.34375,13.5294,28.2059,17.7059,12.7647,7.5,3.79412,0.875,0.5,5,108.866,61.997,2016
"16Green.Bay",1048,2350,662,1007,255,730,3013,458,927,1385,500,441,358,166,18,17,23,12,15,0,0,0,0.666667,0,4,2948,2690,12,7,0.583333,0.657143,35,258,7.37143,0.445957,0.657398,0.349315,13.0857,26.4857,14.2857,12.6,10.2286,4.74286,0.833333,0.470588,5,104.985,61.0408,2016
